,旅遊公司名稱,標題:,網址,出發日期,#行程編號:行程1,成團狀況(團位),成團狀況(可售),成團狀況(補位),成團狀況(如成形show否則為空),交通資訊 ,旅遊行程,總天數,價格,住宿點
0,雄獅旅遊,經典台灣環島｜一次去日月潭x阿里山x池上伯朗大道·台南小吃國宴·賞四季花·部落體驗·太平洋岸下午茶·藍皮解憂號6日｜,https://travel.liontravel.com//detail?NormGroupID=bca85b56-d171-49eb-b8c1-97e9b61e59fb&GroupID=24TN704ALL-T&Platform=app,2024/07/04 (四),1,31,10,報名,,無交通資訊,"['08:30 台北車站集合，08:40出發 12:00 午餐-埔里國宴級料理 13:40 喝喝茶紅茶主題館~奉茶奉蛋體驗&導覽 15:00 日月潭遊湖、玄光寺 17:00 伊達邵商圈 19:00 入住 日月潭飯店', '08:30 飯店出發 前往阿里山，途經 玉山觀峰景點、塔塔加夫妻神木 12:30 午餐 13:45 阿里山森林遊樂區 16:00 入住 阿里山飯店', '可自行搭乘祝山小火車觀賞日出，08:30 飯店出發 午餐-台南小吃國宴餐 漫遊台南古都~安平樹屋、安平古堡 奇美食品幸福工廠 蓮池潭風景區 預計18:30 停靠左營高鐵站下客 19:20 入住高雄飯店', '08:30 飯店出發 預計10:00抵達枋寮車站，搭乘藍皮解憂號加祿站導覽大武站-月台導覽+遠眺海景太麻里站導覽13:10太麻里站換小車出發14:00青山農場賞花下山換大車台東名產伴手禮預計18:30入住台東飯店', '08:30飯店出發 10:00池上伯朗大道~自行車遊 11:20池上飯包博物館 13:00北回歸線標誌公園 14:20馬太鞍濕地、阿美族搗麻糬 &原住民體驗 17:30東大門夜市 19:00入住花蓮飯店', '09:30 花蓮飯店出發 10:10 鯉魚潭 12:00 立川漁場 14:00 海崖谷享用下午茶 16:00 七星潭 預計17:00 抵達 花蓮車站 台北車站']",共6天,"TWD 27,800","['Day:1力麗哲園飯店-日潭館 或', 'Day:2日月潭大飯店 或', 'Day:3力麗哲園飯店-月潭館 或', 'Day:4同級', 'Day:5阿里山高峰大飯店 或', 'Day:6阿里山高山青大飯店 或', 'Day:7阿里山神木賓館 或', 'Day:8同級', 'Day:9城市商旅高雄真愛館 或', 'Day:10城市商旅高雄駁二館 或', 'Day:11翰品酒店 高雄 或', 'Day:12同級', 'Day:13台東南豐鐵花棧 或', 'Day:14鮪魚家族飯店 - 台東館 或', 'Day:15同級', 'Day:16藍天麗池飯店 或', 'Day:17福容大飯店花蓮 或', 'Day:18同級', 'Day:19溫暖的家']"
1,雄獅旅遊,經典台灣環島｜一次去日月潭x阿里山x池上伯朗大道·台南小吃國宴·賞四季花·部落體驗·太平洋岸下午茶·藍皮解憂號6日｜,https://travel.liontravel.com//detail?NormGroupID=bca85b56-d171-49eb-b8c1-97e9b61e59fb&GroupID=24TN704ALL-T&Platform=app,2024/07/11 (四),1,31,10,報名,,無交通資訊,"['08:30 台北車站集合，08:40出發 12:00 午餐-埔里國宴級料理 13:40 喝喝茶紅茶主題館~奉茶奉蛋體驗&導覽 15:00 日月潭遊湖、玄光寺 17:00 伊達邵商圈 19:00 入住 日月潭飯店', '08:30 飯店出發 前往阿里山，途經 玉山觀峰景點、塔塔加夫妻神木 12:30 午餐 13:45 阿里山森林遊樂區 16:00 入住 阿里山飯店', '可自行搭乘祝山小火車觀賞日出，08:30 飯店出發 午餐-台南小吃國宴餐 漫遊台南古都~安平樹屋、安平古堡 奇美食品幸福工廠 蓮池潭風景區 預計18:30 停靠左營高鐵站下客 19:20 入住高雄飯店', '08:30 飯店出發 預計10:00抵達枋寮車站，搭乘藍皮解憂號加祿站導覽大武站-月台導覽+遠眺海景太麻里站導覽13:10太麻里站換小車出發14:00青山農場賞花下山換大車台東名產伴手禮預計18:30入住台東飯店', '08:30飯店出發 10:00池上伯朗大道~自行車遊 11:20池上飯包博物館 13:00北回歸線標誌公園 14:20馬太鞍濕地、阿美族搗麻糬 &原住民體驗 17:30東大門夜市 19:00入住花蓮飯店', '09:30 花蓮飯店出發 10:10 鯉魚潭 12:00 立川漁場 14:00 海崖谷享用下午茶 16:00 七星潭 預計17:00 抵達 花蓮車站 台北車站']",共6天,"TWD 27,800","['Day:1力麗哲園飯店-日潭館 或', 'Day:2日月潭大飯店 或', 'Day:3力麗哲園飯店-月潭館 或', 'Day:4同級', 'Day:5阿里山高峰大飯店 或', 'Day:6阿里山高山青大飯店 或', 'Day:7阿里山神木賓館 或', 'Day:8同級', 'Day:9城市商旅高雄真愛館 或', 'Day:10城市商旅高雄駁二館 或', 'Day:11翰品酒店 高雄 或', 'Day:12同級', 'Day:13台東南豐鐵花棧 或', 'Day:14鮪魚家族飯店 - 台東館 或', 'Day:15同級', 'Day:16藍天麗池飯店 或', 'Day:17福容大飯店花蓮 或', 'Day:18同級', 'Day:19溫暖的家']"
2,雄獅旅遊,經典台灣環島｜一次去日月潭x阿里山x池上伯朗大道·台南小吃國宴·賞四季花·部落體驗·太平洋岸下午茶·藍皮解憂號6日｜,https://travel.liontravel.com//detail?NormGroupID=bca85b56-d171-49eb-b8c1-97e9b61e59fb&GroupID=24TN704ALL-T&Platform=app,2024/07/18 (四),1,31,10,報名,,無交通資訊,"['08:30 台北車站集合，08:40出發 12:00 午餐-埔里國宴級料理 13:40 喝喝茶紅茶主題館~奉茶奉蛋體驗&導覽 15:00 日月潭遊湖、玄光寺 17:00 伊達邵商圈 19:00 入住 日月潭飯店', '08:30 飯店出發 前往阿里山，途經 玉山觀峰景點、塔塔加夫妻神木 12:30 午餐 13:45 阿里山森林遊樂區 16:00 入住 阿里山飯店', '可自行搭乘祝山小火車觀賞日出，08:30 飯店出發 午餐-台南小吃國宴餐 漫遊台南古都~安平樹屋、安平古堡 奇美食品幸福工廠 蓮池潭風景區 預計18:30 停靠左營高鐵站下客 19:20 入住高雄飯店', '08:30 飯店出發 預計10:00抵達枋寮車站，搭乘藍皮解憂號加祿站導覽大武站-月台導覽+遠眺海景太麻里站導覽13:10太麻里站換小車出發14:00青山農場賞花下山換大車台東名產伴手禮預計18:30入住台東飯店', '08:30飯店出發 10:00池上伯朗大道~自行車遊 11:20池上飯包博物館 13:00北回歸線標誌公園 14:20馬太鞍濕地、阿美族搗麻糬 &原住民體驗 17:30東大門夜市 19:00入住花蓮飯店', '09:30 花蓮飯店出發 10:10 鯉魚潭 12:00 立川漁場 14:00 海崖谷享用下午茶 16:00 七星潭 預計17:00 抵達 花蓮車站 台北車站']",共6天,"TWD 27,800","['Day:1力麗哲園飯店-日潭館 或', 'Day:2日月潭大飯店 或', 'Day:3力麗哲園飯店-月潭館 或', 'Day:4同級', 'Day:5阿里山高峰大飯店 或', 'Day:6阿里山高山青大飯店 或', 'Day:7阿里山神木賓館 或', 'Day:8同級', 'Day:9城市商旅高雄真愛館 或', 'Day:10城市商旅高雄駁二館 或', 'Day:11翰品酒店 高雄 或', 'Day:12同級', 'Day:13台東南豐鐵花棧 或', 'Day:14鮪魚家族飯店 - 台東館 或', 'Day:15同級', 'Day:16藍天麗池飯店 或', 'Day:17福容大飯店花蓮 或', 'Day:18同級', 'Day:19溫暖的家']"
3,雄獅旅遊,經典台灣環島｜一次去日月潭x阿里山x池上伯朗大道·台南小吃國宴·賞四季花·部落體驗·太平洋岸下午茶·藍皮解憂號6日｜,https://travel.liontravel.com//detail?NormGroupID=bca85b56-d171-49eb-b8c1-97e9b61e59fb&GroupID=24TN704ALL-T&Platform=app,2024/07/25 (四),1,31,10,報名,,無交通資訊,"['08:30 台北車站集合，08:40出發 12:00 午餐-埔里國宴級料理 13:40 喝喝茶紅茶主題館~奉茶奉蛋體驗&導覽 15:00 日月潭遊湖、玄光寺 17:00 伊達邵商圈 19:00 入住 日月潭飯店', '08:30 飯店出發 前往阿里山，途經 玉山觀峰景點、塔塔加夫妻神木 12:30 午餐 13:45 阿里山森林遊樂區 16:00 入住 阿里山飯店', '可自行搭乘祝山小火車觀賞日出，08:30 飯店出發 午餐-台南小吃國宴餐 漫遊台南古都~安平樹屋、安平古堡 奇美食品幸福工廠 蓮池潭風景區 預計18:30 停靠左營高鐵站下客 19:20 入住高雄飯店', '08:30 飯店出發 預計10:00抵達枋寮車站，搭乘藍皮解憂號加祿站導覽大武站-月台導覽+遠眺海景太麻里站導覽13:10太麻里站換小車出發14:00青山農場賞花下山換大車台東名產伴手禮預計18:30入住台東飯店', '08:30飯店出發 10:00池上伯朗大道~自行車遊 11:20池上飯包博物館 13:00北回歸線標誌公園 14:20馬太鞍濕地、阿美族搗麻糬 &原住民體驗 17:30東大門夜市 19:00入住花蓮飯店', '09:30 花蓮飯店出發 10:10 鯉魚潭 12:00 立川漁場 14:00 海崖谷享用下午茶 16:00 七星潭 預計17:00 抵達 花蓮車站 台北車站']",共6天,"TWD 27,800","['Day:1力麗哲園飯店-日潭館 或', 'Day:2日月潭大飯店 或', 'Day:3力麗哲園飯店-月潭館 或', 'Day:4同級', 'Day:5阿里山高峰大飯店 或', 'Day:6阿里山高山青大飯店 或', 'Day:7阿里山神木賓館 或', 'Day:8同級', 'Day:9城市商旅高雄真愛館 或', 'Day:10城市商旅高雄駁二館 或', 'Day:11翰品酒店 高雄 或', 'Day:12同級', 'Day:13台東南豐鐵花棧 或', 'Day:14鮪魚家族飯店 - 台東館 或', 'Day:15同級', 'Day:16藍天麗池飯店 或', 'Day:17福容大飯店花蓮 或', 'Day:18同級', 'Day:19溫暖的家']"
4,雄獅旅遊,桃園｜巨木的故鄉.拉拉山｜慈湖.兩蔣文化園區.巴陵古道生態園區.大溪老街.臺灣客家茶文化館.達觀農場二日｜中部出發,https://travel.liontravel.com//detail?NormGroupID=090803c3-f612-46f8-841f-19acbab4c7e0&GroupID=24TN528R27-X&Platform=app,2024/05/28 (二),1,37,36,報名,,無交通資訊,無行程資料,共2天,"TWD 2,999",[]
5,雄獅旅遊,苗栗旅遊｜台灣之光.登上聯合國婦權會.聽聽藺草的故事.曾經創造台灣外匯的奇蹟.藺草文化館.藺草麻糬DIY一日｜大人囝仔,https://travel.liontravel.com//detail?NormGroupID=2e95b2ef-ff29-4239-a9ba-c84786f04287&GroupID=24TM525RUS-T&Platform=app,2024/05/25 (六),1,37,30,報名,,"出發地點
台北
集合地點
台北雄獅 站前門市中壢新屋交流道 肯德基KFC-中壢民族餐廳前
集合說明",['07:20台北車站雄獅站前門市集合->07:30出發>->08:30新屋交流道 肯德基KFC-中壢民族餐廳前->10:00獨特的藺草香~【綠意山莊藺草麻糬DIY】->12:00藺草的故事在這裡~【藺草文化館】->13:00經典小鎮【苑裡老街尋美食】+深受蔣宋美齡青睞的百年藺草老店【振發帽蓆行】+懷舊的零食在這裡~【垂坤苑裡總店】->15:30返程'],共1天,"TWD 1,299",['Day:1溫暖的家']
6,雄獅旅遊,苗栗旅遊｜台灣之光.登上聯合國婦權會.聽聽藺草的故事.曾經創造台灣外匯的奇蹟.藺草文化館.藺草麻糬DIY一日｜大人囝仔,https://travel.liontravel.com//detail?NormGroupID=2e95b2ef-ff29-4239-a9ba-c84786f04287&GroupID=24TM525RUS-T&Platform=app,2024/05/28 (二),1,37,29,報名,,"出發地點
台北
集合地點
台北雄獅 站前門市中壢新屋交流道 肯德基KFC-中壢民族餐廳前
集合說明",['07:20台北車站雄獅站前門市集合->07:30出發>->08:30新屋交流道 肯德基KFC-中壢民族餐廳前->10:00獨特的藺草香~【綠意山莊藺草麻糬DIY】->12:00藺草的故事在這裡~【藺草文化館】->13:00經典小鎮【苑裡老街尋美食】+深受蔣宋美齡青睞的百年藺草老店【振發帽蓆行】+懷舊的零食在這裡~【垂坤苑裡總店】->15:30返程'],共1天,"TWD 1,099",['Day:1溫暖的家']
7,雄獅旅遊,台南旅遊｜台灣世界風.水晶教堂.奇美博物館.司法博物館.四草綠色隧道三日,https://travel.liontravel.com//detail?NormGroupID=a40fca03-19c9-4be7-abf4-8ce22c7fb225&GroupID=24TS608FE1-T&Platform=app,2024/06/08 (六),1,37,25,報名,成行,"出發地點
台北桃園
集合地點
台北雄獅 站前門市中壢新屋交流道 肯德基KFC-中壢民族餐廳前
集合說明","['07:00台北車站集合→07:10出發→桃園集合點→三義休息站→錢來也雜貨店+北門水晶教堂(入內)+北門洗滌鹽工場→午餐→司法博物館→美術館2館→17:30飯店CHECK IN', '09:00飯店→奇美博物館→ 安平老街→安平古堡 → 安平樹屋/英商德記洋行 → 四草綠色隧道→ 孔廟商圈 → 18:30飯店 → 漫遊神農街/海安路/國華街', '09:00飯店→七股龍山號生態之旅(船班時間依團體到達)+烤蚵吃到飽→12:30午餐→七股鹽山→15:00返程→19:30預計抵達出發地']",共3天,"TWD 7,999","['Day:1富驛時尚酒店 台南民生路館', 'Day:2富驛時尚酒店', 'Day:3溫暖的家']"
8,雄獅旅遊,高雄旅遊｜最高折300｜知事官邸.哈瑪星鐵道.台灣版必比登5百碗.承億酒店1泊2食二日｜台中出發,https://travel.liontravel.com//detail?NormGroupID=9b532e33-f76e-4f91-bd7d-1dc5192c4352&GroupID=24TS6133CY-X&Platform=app,2024/06/13 (四),1,37,12,報名,成行,"出發地點
台中
集合地點
國立臺灣美術館/五權西路側-大門廣場前停車彎處新烏日火車站2樓-雄獅旅遊集合處
集合說明","['08:00國立臺灣美術館集合出發08:40台中新烏日火車站出發知事官邸生活館｜和洋建築之美台南國華街｜永樂市場500碗小吃探索藏金閣2館｜最美公家機關城堡詩舒曼蠶絲文化園區｜時空之城3.0高雄市立圖書館總館｜全世界第一座懸吊式綠建築→高雄承億酒店Check in→晚餐享用『両鍋極上鍋物套餐』', '09:00飯店Check out輕軌「前鎮之心站」搭乘輕軌→抵達輕軌「西子灣站」→哈瑪星鐵道園區｜北號誌樓＆天空雲台高雄鹽埕｜七賢路500碗小吃探索輕軌美術館站｜動畫龍貓隧道14:00準備回程17:00預計返抵新烏日火車站17:30預計返抵國立臺灣美術館']",共2天,"TWD 4,199","['Day:1承億酒店 或', 'Day:2其他同等飯店']"
9,雄獅旅遊,高雄旅遊｜最高折300｜知事官邸.哈瑪星鐵道.台灣版必比登5百碗.承億酒店1泊2食二日｜台中出發,https://travel.liontravel.com//detail?NormGroupID=9b532e33-f76e-4f91-bd7d-1dc5192c4352&GroupID=24TS6133CY-X&Platform=app,2024/06/26 (三),1,37,19,報名,,"出發地點
台中
集合地點
國立臺灣美術館/五權西路側-大門廣場前停車彎處新烏日火車站2樓-雄獅旅遊集合處
集合說明","['08:00國立臺灣美術館集合出發08:40台中新烏日火車站出發知事官邸生活館｜和洋建築之美台南國華街｜永樂市場500碗小吃探索藏金閣2館｜最美公家機關城堡詩舒曼蠶絲文化園區｜時空之城3.0高雄市立圖書館總館｜全世界第一座懸吊式綠建築→高雄承億酒店Check in→晚餐享用『両鍋極上鍋物套餐』', '09:00飯店Check out輕軌「前鎮之心站」搭乘輕軌→抵達輕軌「西子灣站」→哈瑪星鐵道園區｜北號誌樓＆天空雲台高雄鹽埕｜七賢路500碗小吃探索輕軌美術館站｜動畫龍貓隧道14:00準備回程17:00預計返抵新烏日火車站17:30預計返抵國立臺灣美術館']",共2天,"TWD 4,199","['Day:1承億酒店 或', 'Day:2其他同等飯店']"
10,雄獅旅遊,台南旅遊｜大員皇冠一泊二食.安平航海城.虱目魚丸體驗.漁光島夕照.台灣歷史博物館二日｜大人囝仔,https://travel.liontravel.com//detail?NormGroupID=de4c9411-2313-4932-92b5-1e350daf5a23&GroupID=24TS614DY1-T&Platform=app,無資料,無資料,無資料,無資料,無資料,無資料,無交通資訊,無行程資料,無資料,無資料,無旅館資訊
11,雄獅旅遊,台南旅遊｜西港刈香.慶安宮燒王船.天下第一香.錯過這次再等三年.台灣好神二日,https://travel.liontravel.com//detail?NormGroupID=d9501d64-2d43-490c-8bd2-9a6470fb1446&GroupID=24TS526WC1-T&Platform=app,無資料,無資料,無資料,無資料,無資料,無資料,無交通資訊,無行程資料,無資料,無資料,無旅館資訊
12,雄獅旅遊,【四人成行/台灣觀巴】宜蘭～太平山國家森林遊樂區、見晴懷古步道、鳩之澤一日,https://travel.liontravel.com//detail?NormGroupID=5e822cf6-95b7-4690-9408-e471ea32fbeb&GroupID=24TE525IJA-ZP&Platform=app,2024/05/25 (六),1,4,4,報名,,無交通資訊,['台北太平山國家森林遊樂區－太平山莊－見晴懷古步道－鳩之澤台北'],共1天,"TWD 1,400",[]
13,雄獅旅遊,【四人成行/台灣觀巴】宜蘭～太平山國家森林遊樂區、見晴懷古步道、鳩之澤一日,https://travel.liontravel.com//detail?NormGroupID=5e822cf6-95b7-4690-9408-e471ea32fbeb&GroupID=24TE525IJA-ZP&Platform=app,2024/05/31 (五),1,4,4,報名,,無交通資訊,['台北太平山國家森林遊樂區－太平山莊－見晴懷古步道－鳩之澤台北'],共1天,"TWD 1,200",[]
14,雄獅旅遊,新北旅遊｜萬里佔地8000坪高家繡球花田.金山老街大啖美食.台灣最北富貴角燈塔1日｜大人囝仔,https://travel.liontravel.com//detail?NormGroupID=771830b5-1bfe-42ab-bd2e-b157a03dc3c1&GroupID=24TN607WAN-T&Platform=app,無資料,無資料,無資料,無資料,無資料,無資料,無交通資訊,無行程資料,無資料,無資料,無旅館資訊
15,雄獅旅遊,高雄旅遊｜惡地月世界.約會熱點愛河灣.台灣西湖.高雄圓山飯店2日｜台南出發,https://travel.liontravel.com//detail?NormGroupID=2c3c2db6-7d99-4164-b6cb-5e7eda6e3fa7&GroupID=24TS605KGR-K&Platform=app,2024/06/05 (三),1,36,33,報名,,"出發地點
台南
集合地點
台南美術2館東側(忠義小學大門對面)台南平實公園
集合說明","['08:00台南美術館2館(忠義國小對面)集合，08:10出發→08:30台南平實公園上車→09:20月世界惡地形｜嫦娥奔月絲路→11:20高雄龍華市場(午餐自理)→13:00詩舒曼蠶絲文化園區→14:20大港橋、流行音樂中心→16:00內惟藝術中心→17:00宿：高雄圓山飯店', '09:30飯店文化導覽→10:30退房→10:40澄清湖風景區→12:30屏東觀光夜市(午餐自理)→14:10鳥仔咖－鵬村濕地公園→15:30東大興漁品→17:30返抵台南平實公園→18:00返抵台南美術館２館']",共2天,"TWD 3,299","['Day:1高雄圓山飯店 或', 'Day:2或同級']"
16,雄獅旅遊,高雄旅遊｜惡地月世界.約會熱點愛河灣.台灣西湖.高雄圓山飯店2日｜台南出發,https://travel.liontravel.com//detail?NormGroupID=2c3c2db6-7d99-4164-b6cb-5e7eda6e3fa7&GroupID=24TS605KGR-K&Platform=app,2024/06/19 (三),1,36,35,報名,,"出發地點
台南
集合地點
台南美術2館東側(忠義小學大門對面)台南平實公園
集合說明","['08:00台南美術館2館(忠義國小對面)集合，08:10出發→08:30台南平實公園上車→09:20月世界惡地形｜嫦娥奔月絲路→11:20高雄龍華市場(午餐自理)→13:00詩舒曼蠶絲文化園區→14:20大港橋、流行音樂中心→16:00內惟藝術中心→17:00宿：高雄圓山飯店', '09:30飯店文化導覽→10:30退房→10:40澄清湖風景區→12:30屏東觀光夜市(午餐自理)→14:10鳥仔咖－鵬村濕地公園→15:30東大興漁品→17:30返抵台南平實公園→18:00返抵台南美術館２館']",共2天,"TWD 3,299","['Day:1高雄圓山飯店 或', 'Day:2或同級']"
17,雄獅旅遊,高雄旅遊｜惡地月世界.約會熱點愛河灣.台灣西湖.高雄圓山飯店2日｜台南出發,https://travel.liontravel.com//detail?NormGroupID=2c3c2db6-7d99-4164-b6cb-5e7eda6e3fa7&GroupID=24TS605KGR-K&Platform=app,2024/06/25 (二),1,36,35,報名,,"出發地點
台南
集合地點
台南美術2館東側(忠義小學大門對面)台南平實公園
集合說明","['08:00台南美術館2館(忠義國小對面)集合，08:10出發→08:30台南平實公園上車→09:20月世界惡地形｜嫦娥奔月絲路→11:20高雄龍華市場(午餐自理)→13:00詩舒曼蠶絲文化園區→14:20大港橋、流行音樂中心→16:00內惟藝術中心→17:00宿：高雄圓山飯店', '09:30飯店文化導覽→10:30退房→10:40澄清湖風景區→12:30屏東觀光夜市(午餐自理)→14:10鳥仔咖－鵬村濕地公園→15:30東大興漁品→17:30返抵台南平實公園→18:00返抵台南美術館２館']",共2天,"TWD 3,299","['Day:1高雄圓山飯店 或', 'Day:2或同級']"
